"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"The New Scooby-Doo Mysteries",1984,"Happy Birthday Scooby-Doo",1,1,1,7.1,105,"tt1443230","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Scooby's Peep-Hole Pandemonium/The Hand of Horror",1,2,2,7,74,"tt1443236","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Scoo-Be or Not Scoo-Be?/The Stoney Glare Stare",1,3,3,7.2,75,"tt1443232","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Mission Un-Doo-Able/The Bee Team",1,4,4,6.6,71,"tt1443231","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Doom Service/A Code in the Nose",1,5,5,7,66,"tt1443228","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Ghosts of the Ancient Astronauts",1,6,6,6.8,84,"tt1443229","tt0086767"
"The New Scooby-Doo Mysteries",1984,"The Night of the Living Toys/South Pole Vault",1,7,7,6.9,64,"tt1443235","tt0086767"
"The New Scooby-Doo Mysteries",1984,"A Halloween Hassle at Dracula's Castle",1,8,8,7.9,102,"tt1234522","tt0086767"
"The New Scooby-Doo Mysteries",1984,"A Night Louse at the White House",1,9,9,7.6,68,"tt1443226","tt0086767"
"The New Scooby-Doo Mysteries",1984,"The 'Dooby Dooby Doo' Ado/Showboat Scooby",1,10,10,7.2,73,"tt1443234","tt0086767"
"The New Scooby-Doo Mysteries",1984,"Sherlock Doo",1,11,11,7.6,69,"tt1443233","tt0086767"
"The New Scooby-Doo Mysteries",1984,"A Scarey Duel with a Cartoon Ghoul/E*I*E*I*O",1,12,12,6.7,66,"tt1443227","tt0086767"
"The New Scooby-Doo Mysteries",1984,"The Nutcracker Scoob",1,13,13,7.9,125,"tt1183445","tt0086767"
